S/N,NAME OF COMPANY,INTEREST RATE FLAT MONTHLY,TENOR PER MONTH,MAX LOAN AMOUNT ('000),LENGTH OF SERVICE (MONTHS)
501,CONTINENTAL REINSURANCE PLC,50,30,50,3
502,CONVENTION ON BUSINESS INTEGRITY,15,30,50,3
503,CORNERSTONE INSURANCE,15,30,50,3
504,COSCHARIS MOTORS LTD,15,30,50,3
505,COVENANT UNIVERSITY,15,30,50,3
506,CRAWFORD UNIVERSITY,15,30,50,3
507,CRESTECH ENGINEERING LIMITED,15,30,50,3
508,CRITICAL RESCUE INTERNATIONAL,15,30,50,3
509,CROWN FLOUR MILLS NIGERIA LIMITED,15,30,200,3
150,CUMMINGS WESTAFRICA,15,30,200,3
111,DAEWOO NIGERIA LIMITED,15,30,50,3
112,DANA STEEL LTD,15,30,50,3
113,DANGOTE GROUP OF COMPANIES ,50,30,50,3
114,DATAMAX REGISTRARS,15,30,50,3
115,DAY WATERMAN COLLEGE,15,30,50,3
116,DAYSPRING INFANT JUNIOR SCHOOL,15,30,50,3
117,DAYSTAR CHRISTIAN CENTRE,15,30,200,3
118,DEEPDRILL OIL SERVICES OVERSEES LTD,15,30,50,3
119,DELTA AIRLINES,15,30,50,3
150,"DELTATEK GROUP (DELTA AFRIK ENGINEERING LIMITED, DELTATEK ENGINEERING LIMITED, DELTATEK OFFSHORE, DELTATEK MARINE SERVICES, OSMDT MARITIME, CRESTWOOD PETROLEUM, ROYALGATE ENERGY WESTAFRICA, BAY ATLANTIC ENERGY LIMITED, DTK OCEANIC LIMITED, SOUTHGATE PACIFIC DRILLING, DELTATERRATEK LIMITED, SKYJET INVESTMENT LIMITED)",15,30,50,3
150,DENHAM MANAGEMENT,15,30,50,3
150,DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,15,30,50,3
115,DEPARTMENT OF PETROLEUM RESOURCES,50,30,50,3
124,DEPARTMENT OF STATE SECURITY SERVICE (DSSS),50,30,50,3
125,DE-UNITED FOODS INDUSTRIES LTD,50,30,50,3
126,DEUTSCHE BANK REPRESENTATIVE OFFICE IN NIGERIA,15,30,50,3
127,DEVELOPMENT BANK OF NIGERIA,50,30,50,3
128,DFID-SPARC,15,30,50,3
129,DHL NIGERIA,15,30,50,3
130,DIMENSION DATA,15,30,50,3
131,DIZENG OFF WEST AFRICAN NIGERIA LTD,15,30,50,3
132,DREGING INTERNATIONAL SERVICES,15,30,50,3
133,ECHO SCAN SERVICES LIMITED,15,30,50,3
134,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),50,30,50,3
135,ECONOMIC COMMUNITY OF WEST AFRICAN STATES (ECOWAS),15,30,50,3
136,ECWA EYE HOSPITAL KANO,15,30,50,3
137,EDISON CHOUEST OFFSHORE NIG. LTD,15,30,50,3
138,EKO HOTEL AND SUITES,15,30,50,3
139,EL- AMIN INTERNATIONAL SCHOOL,15,30,50,3
140,EMBASSEY OF UNITED ARAB EMIRATES,15,30,50,3
141,EMBASSY OF FRANCE,15,30,50,3
142,EMBASSY OF JAPAN,15,30,50,3
143,EMBASSY OF THE PEOPLE'S REPUBLIC OF CHINA,15,30,50,3
144,EMIRATES AIRLINE,50,30,50,3
145,EMZOR PHARMACEUTICALS,15,30,50,3
146,ERNST AND YOUNG,50,30,50,3
147,ESSENCE INTERNATIOANAL SCHOOL,15,30,50,3
148,ETCO NIGERIA LTD,15,30,50,3
149,ETERNA PLC,50,30,50,3
150,ETIHAD AIRWAYS,15,30,50,3
151,ETISALAT NIGERIA LIMITED,50,30,50,3
152,EUROFLOW DESIGNS,15,30,50,3
153,EUROMEGA,15,30,50,3
154,EXXON MOBIL,19,30,200,3
155,FAMFA OIL LTD,50,30,50,3
156,FAMILY HEALTH INTERNATIONAL 360,15,30,50,3
157,FAMILY HOMES FUND,50,30,50,3
158,FAN MILK (NIGERIA) PLC,15,30,50,3
159,FAR EAST MERCENTILE,15,30,50,3
160,FEDERAL AIRPORT AUTHORITY OF NIGERIA,15,30,50,3
161,FEDERAL INLAND REVENUE SERVICE,15,30,50,3
162,FEDERAL MEDICAL CENTRE YENEGOA,15,30,50,3
163,"FEDERAL NEURO PYSCHAITRIC HOSPITAL, KADUNA",15,30,50,3
164,FEDERAL ROAD SAFETY CORPS (FRSC),50,30,50,3
165,FELPET NIGERIA LIMITED,15,30,50,3
166,FEMI JOHNSON AND COMPANY LTD,15,30,50,3
167,FIDSON HEALTHCARE PLC,15,30,50,3
168,FIRST MARINA TRUST LTD,15,30,50,3
