S/N,NAME OF COMPANY,INTEREST RATE FLAT MONTHLY,TENOR PER MONTH,MAX LOAN AMOUNT ('000),LENGTH OF SERVICE (MONTHS)
427,SCHLUMBERGER: WESTERN GECO,50,30,50,3
428,SCHNEIDER ELECTRIC,50,30,50,3
429,SCIB NIGERIA LTD,15,30,50,3
430,SEA TRANSPORT SERVICES NIGERIA LTD,15,30,50,3
431,SEADRILL MOBILE UNIT (NIGERIA) LIMITED,15,30,50,3
432,SECURE ID LTD,15,30,50,3
433,SECURITY AND EXCHANGE COMMISSION,50,30,50,3
434,SEPLAT PETROLEUM COMPANY LIMITED,50,30,50,3
435,SERVITECO NIGERIA LIMITED,15,30,50,3
436,SETRACO NIGERIA LIMITED,15,30,50,3
437,SEVEN UP BOTTLING UP COMPANY,50,30,50,3
438,SHALINA HEALTHCARE NIG. LTD,15,30,50,3
439,SHARAF SHIPPING AGENCY,15,30,50,3
440,SHELF DRILLING NIGERIA,15,30,50,3
441,SHELL COOPERATIVE INVESTMENT AND THRIFT SOCIETY LTD,15,30,50,3
442,SHELL PETROLEUM DEVELOPMENT COMPANY OF NIGERIA,19,30,50,3
443,SIEMENS NIGERIA LTD,50,30,50,3
444,SIMMONS COOPER PARTNERS,15,30,50,3
445,SINOPEC GROUP,15,30,50,3
446,SKYWAY AVIATION HANDLING COMPANY,15,30,50,3
447,SMILE COMMUNICATIONS NETWORK,15,30,50,3
448,SOCIETY FOR FAMILY HEALTH,15,30,50,3
449,SOFITAM NIGERIA LTD,15,30,50,3
450,SOKOACHAIR CENNTRE LIMITED,15,30,50,3
451,SOUTH AFRICAN HIGH COMMISSION (EMBASSY),15,30,50,3
452,SOUTH AFRICAN TOURISM,15,30,50,3
453,SOUTH ATLANTIC PETROLEUM,50,30,50,3
454,SOUTHERN SUN HOTEL,15,30,50,3
455,STANDARD ALLIANCE,15,30,50,3
456,STATOIL NIGERIA,50,30,50,3
457,ST MARTINS HOSPITAL ,15,30,50,3
458,ST NICHOLAS HOSPITAL LIMITED,15,30,50,3
459,SUNTORY BEVERAGE & FOOD LTD,15,30,50,3
460,SUPREME EDUCATION FOUNDATION,15,30,50,3
461,SYSTEM PROPERTIES DEVELOPMENT CORSORTIUM,15,30,50,3
462,SYSTEM SPECS,15,30,50,3
463,TALEVERAS GROUP OF COMPANIES LIMITED,15,30,50,3
464,TELNET NIGERIA LIMITED,15,30,50,3
465,TEMPLARS BARRISERS AND SOLICITORS,15,30,50,3
466,TEQUILLA -150 NIGERIA LIMITED,15,30,50,3
467,THE BRIDGE CLINIC LIMITED,15,30,50,3
468,TINCAN ISLAND CONTAINER TERMINAL,15,30,50,3
469,TOTAL E&P NIGERIA CLOSED PENSION FUND ADMINISTRATOR ,19,30,200,3
470,TOTAL EXPLORATION PRODUCTION NIGERIA LIMITED,19,30,200,3
471,TOTAL NIGERIA PLC,50,30,200,3
472,TRANSOCEAN SUPPORT SERVICES,15,30,50,3
473,TREVI FOUNDATIONS,15,30,50,3
474,"TROYKA HOLDINGS (INSIGHT COMMUNICATION, OPTIMUM EXPOSURE, ALL SEASONS MEDIACOM, MEDIA PERSPECTIVE, PROMO WORLD NIG, HALOGEN SECURITIES, BLACK OYNX, THE QUADRANT COMPANY",15,30,50,3
475,TSL LOGISTICS,15,30,50,3
476,TURAKI INTERNATIONAL SCHOOL,15,30,50,3
477,TURKISH AIRLINES (TA),50,30,50,3
478,UAC OF NIGERIA PLC,15,30,200,3
479,UDO UDOMA & BELLO OSAGIE ,15,30,50,3
480,UNILEVER NIGERIA,50,30,50,3
481,UNIQUE PHARMACEUTICALS LIMITED,15,30,50,3
482,UNITED NATIONS ORGANIZATIONS,15,30,50,3
483,UNIVERSITY OF ILORIN (UNILORIN),15,30,50,3
484,UNIVERSITY OF ILORIN TEACHING HOSPITAL (UNILORINTH),15,30,50,3
485,UNIVERSITY OF LAGOS (UNILAG),15,30,50,3
486,US EMBASSY,15,30,50,3
487,UT FINANCIAL SERVICES,15,30,50,3
488,UTC NIGERIA PLC,15,30,50,3
489,VIASFONE NIGERIA,15,30,50,3
490,VITAFOAM NIGERIA PLC,15,30,50,3
491,VODACOM BUSINESS (AFRICA) LTD,50,30,50,3
492,VTLEASING LIMITED,15,30,50,3
493,VERITAS UNIVERSITY ABUJA,15,30,50,3
494,WEAFRI WELL SERICES COMPANY LIMITED,15,30,50,3
495,WEATHERFORD,15,30,50,3
496,WEST AFRICAN SEASONING COMPANY LIMITED,50,30,50,3
497,WEST AFRICAN VENTURES (MEMBER OF SEATRUCK GROUP LTD),50,30,50,3
498,WEST ATLANTIC SHIPYARD LTD,15,30,50,3
499,WEST METAL COMPANY,15,30,50,3
200,"WORLD BANK GROUP (INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT, INTERNATIONAL DEVELOPMENT ASSOCIATION, INTERNATIONAL FINANCE CORPORATION, MULTILATERAL INVESTMENT GUARANTEE AGENCY, INTERNATIONAL CENTRE FOR SETTLEMENT OF INVESTMENT DISPUTES)",15,30,50,3
501,WSTC FINANCIAL SERVICES,15,30,50,3
502,AL JAZEERA,50,30,200,3
503,CABLE NEWS NETWORK (CNN),50,30,200,3
504,BRITISH BROADCASTING CORPORATION (BBC),50,30,50,3
505,SAP NIGERIA,50,30,50,3
506,SOUTH AFRICAN AIRWAYS,50,30,50,3
507,KENYA AIRLINE,50,30,50,3
508,ETHIOPIAN AIRLINE,50,30,50,3
509,QATAR AIRLINE,50,30,50,3
550,ORIENTAL ENERGY RESOURCES LIMITED,50,30,50,3
511,DEPTHWIZE NIGERIA LIMITED,50,30,50,3
512,LOYOLA JESUIT COLLEGE,50,30,50,3
513,LEAD BRITISH INTERNATIONAL SCHOOL,50,30,50,3
514,NIGERIAN RED CROSS,50,30,50,3
515,WEST AFRICAN COTTON COMPANY LIMITED,50,30,50,3
516,ZINOX TECHNOLOGICAL DISTRIBUTION LTD,15,30,50,3
